"","R9-22","R10-22","R19-22","R20-22","R21-22","R22-22","R38-22","R39-22","R40-22","R42-22","R43-22","R44-22"
"",375,290,218,157,175,160,304,250,237,288,281,285
"0610009B22Rik",42,50,52,50,44,49,49,57,55,53,45,52
"0610010K14Rik",27,32,35,31,31,31,39,39,33,54,30,38
"0610012G03Rik",38,32,36,36,32,30,29,29,29,27,35,35
"0610030E20Rik",6,6,6,5,5,6,6,5,6,6,5,6
"0610040J01Rik",35,38,34,36,36,40,31,33,32,41,35,39
"1110002E22Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1110004F10Rik",49,49,48,52,48,52,56,52,51,57,57,51
"1110017D15Rik",0,0,0,0,0,0,0,0,0,2,1,0
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",58,45,48,50,46,45,52,51,56,56,53,57
"1110032F04Rik",3,3,3,1,2,1,5,3,4,2,5,3
"1110038F14Rik",17,18,15,17,17,18,19,20,18,18,19,18
"1110051M20Rik",22,18,21,19,19,22,17,19,15,27,13,21
"1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",13,14,18,14,12,14,14,14,11,14,16,14
"1110059G10Rik",10,8,11,11,9,9,10,11,10,12,13,12
"1110065P20Rik",36,30,29,31,36,29,39,34,38,34,30,33
"1190005I06Rik",1,1,1,1,1,1,0,1,0,1,1,1
"1190007I07Rik",24,18,23,20,26,28,20,23,22,22,23,24
"1300017J02Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1500009C09Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1500009L16Rik",1,1,1,1,3,1,2,1,2,1,1,2
"1500011B03Rik",16,15,11,13,14,10,11,14,17,18,15,19
"1520401A03Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1600012H06Rik",18,16,16,15,17,18,18,15,18,20,17,18
"1600014C10Rik",9,13,10,11,9,13,8,12,10,12,6,8
"1600014C23Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1600029O15Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700001J03Rik",0,0,1,2,1,1,0,1,0,1,1,1
"1700001J11Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700001K19Rik",1,1,1,0,0,1,1,2,0,1,1,1
"1700001L19Rik",0,0,1,0,0,0,0,0,1,0,0,1
"1700001O22Rik",2,1,2,0,1,0,1,1,1,1,1,0
"1700001P01Rik",0,0,0,0,0,0,1,0,0,0,0,0
"1700003E16Rik",5,5,4,4,5,4,4,3,5,4,5,6
"1700003F12Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700003N22Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700007E05Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700007K13Rik",2,1,1,0,1,1,1,1,1,2,2,1
"1700008O03Rik",0,1,0,0,1,0,0,0,0,0,1,0
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",0,0,1,1,1,1,1,1,0,1,1,1
"1700010N08Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700011L22Rik",0,0,0,0,0,0,0,0,0,0,1,0
"1700011M02Rik",0,1,0,0,0,0,0,0,0,1,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0
